sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_732,13.1798181818182,-16.28650769899,DH_2022_general,Drayton Harbor,2022,general,shiner perch,77,NA
SI_733,13.8448181818182,-14.0650317424795,DH_2022_general,Drayton Harbor,2022,general,shiner perch,76,NA
SI_734,14.4478181818182,-13.731489327933,DH_2022_general,Drayton Harbor,2022,general,shiner perch,69,NA
SI_735,13.4478181818182,-13.1488111237444,DH_2022_general,Drayton Harbor,2022,general,shiner perch,68,NA
SI_736,13.1838181818182,-14.0416411123164,DH_2022_general,Drayton Harbor,2022,general,shiner perch,67,NA
SI_737,13.3658181818182,-12.8766894458041,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_738,14.2588181818182,-13.1971694751699,DH_2022_general,Drayton Harbor,2022,general,shiner perch,72,NA
SI_739,13.2118181818182,-14.7978001858686,DH_2022_general,Drayton Harbor,2022,general,shiner perch,55,NA
SI_740,13.8198181818182,-13.3779928853786,DH_2022_general,Drayton Harbor,2022,general,shiner perch,74,NA
SI_741,14.1349090909091,-12.9255190999662,DH_2022_general,Drayton Harbor,2022,general,shiner perch,67,NA
SI_742,13.7299090909091,-14.6314292351155,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_743,13.8929090909091,-12.6515837621612,DH_2022_general,Drayton Harbor,2022,general,shiner perch,69,NA
SI_744,13.4889090909091,-14.2572560437134,DH_2022_general,Drayton Harbor,2022,general,shiner perch,72,NA
SI_745,13.4299090909091,-13.3530536686281,DH_2022_general,Drayton Harbor,2022,general,shiner perch,65,NA
SI_746,13.7469090909091,-14.8360599631377,DH_2022_general,Drayton Harbor,2022,general,shiner perch,60,NA
SI_747,13.3009090909091,-12.8476050825796,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_748,13.9329090909091,-14.2081144389884,DH_2022_general,Drayton Harbor,2022,general,shiner perch,65,NA
SI_749,13.8039090909091,-16.4709989286817,DH_2022_general,Drayton Harbor,2022,general,shiner perch,65,NA
SI_750,13.4049090909091,-14.4015621632732,DH_2022_general,Drayton Harbor,2022,general,shiner perch,67,NA
SI_751,13.4219090909091,-13.6443665238672,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_752,13.7609090909091,-13.7737680138221,DH_2022_general,Drayton Harbor,2022,general,shiner perch,72,NA
SI_753,13.4949090909091,-14.2823939204359,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_754,13.7139090909091,-13.7845702904194,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_755,13.7349090909091,-15.0857187886415,DH_2022_general,Drayton Harbor,2022,general,shiner perch,80,NA
SI_756,13.3609090909091,-13.0579596132319,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_757,13.7369090909091,-16.3885333400257,DH_2022_general,Drayton Harbor,2022,general,shiner perch,100,NA
SI_758,13.6419090909091,-14.8613932541918,DH_2022_general,Drayton Harbor,2022,general,shiner perch,75,NA
SI_759,14.0329090909091,-13.9440228778939,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_760,14.1059090909091,-14.3386964763377,DH_2022_general,Drayton Harbor,2022,general,shiner perch,112,NA
SI_761,13.5479090909091,-14.1582181354266,DH_2022_general,Drayton Harbor,2022,general,shiner perch,64,NA
SI_762,13.9249090909091,-13.8857391586193,DH_2022_general,Drayton Harbor,2022,general,shiner perch,72,NA
SI_763,13.1419090909091,-14.8191499907301,DH_2022_general,Drayton Harbor,2022,general,shiner perch,62,NA
SI_764,14.0029090909091,-14.212118311547,DH_2022_general,Drayton Harbor,2022,general,shiner perch,71,NA
SI_765,13.2086363636364,-13.704478845212,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_766,13.0376363636364,-13.229113611059,DH_2022_general,Drayton Harbor,2022,general,shiner perch,75,NA
SI_767,13.2456363636364,-13.0985535239921,DH_2022_general,Drayton Harbor,2022,general,shiner perch,66,NA
SI_768,13.2176363636364,-13.0445862243777,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_769,13.3686363636364,-13.0879527805342,DH_2022_general,Drayton Harbor,2022,general,shiner perch,61,NA
SI_770,13.6806363636364,-12.2450325165706,DH_2022_general,Drayton Harbor,2022,general,shiner perch,69,NA
SI_771,13.8836363636364,-12.4371355014159,DH_2022_general,Drayton Harbor,2022,general,shiner perch,63,NA
SI_772,13.1866363636364,-14.3077621537402,DH_2022_general,Drayton Harbor,2022,general,shiner perch,68,NA
SI_773,13.4216363636364,-13.3156594966265,DH_2022_general,Drayton Harbor,2022,general,shiner perch,65,NA
SI_774,13.5536363636364,-14.0854382258065,DH_2022_general,Drayton Harbor,2022,general,shiner perch,75,NA
SI_775,13.7536363636364,-13.8145541706655,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_776,13.6796363636364,-14.4434278732797,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_781,13.4886363636364,-13.9358979120845,DH_2022_general,Drayton Harbor,2022,general,shiner perch,62,NA
SI_782,14.0736363636364,-12.9084967362965,DH_2022_general,Drayton Harbor,2022,general,shiner perch,63,NA
