Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
34,41307,11/11/22,SI_253,C,10,0.452,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.2,5210,96611,96.611,1.7,5528,102543,1.128,4.5,7475,0.416,138648,1.0614017,0.0119849,0,0,1.4351182,0.0040196,0,0,0.0111802,0,0.0020052,0
35,41308,11/11/22,SI_254,C,11,0.498,N2,1,1,47.7,27,13.2,3264,60161,60.161,8.9,2151,39666,0.436,0.6593228,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
35,41308,11/11/22,SI_254,C,11,0.498,N2,2,0,216.3,76.7,13.9,1294,28194,28.194,9.2,865,18838,0.207,0.6681752,0.0074552,13.426,13.426,0.0037276,13.426,,,,,,,,,,,,,,,,,,,,,,,,
35,41308,11/11/22,SI_254,C,11,0.498,CO2,3,0,365.1,98.2,,,,,,,,,,,,,,,1.1,5690,137594,137.594,0.5,6045,145646,1.602,2.7,8159,0.593,197592,1.0585234,0.0119523,-2.715,-2.715,1.4360504,0.0040222,0.662,0.662,0.0111474,-2.936,0.0020065,0.669
35,41308,11/11/22,SI_254,C,11,0.498,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.8,5205,96507,96.507,2.3,5522,102433,1.127,5.2,7468,0.415,138498,1.0614053,0.0119849,0,0,1.4351001,0.0040196,0,0,0.0111802,0,0.0020052,0
36,41309,11/11/22,SI_255,C,12,0.45,N2,1,1,47.7,26.8,13.3,3264,60171,60.171,9.0,2150,39643,0.436,0.6588308,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
36,41309,11/11/22,SI_255,C,12,0.45,N2,2,0,216.3,75.2,13.9,1173,25513,25.513,9.3,783,17025,0.187,0.6672799,0.0074507,12.824,12.824,0.0037254,12.824,,,,,,,,,,,,,,,,,,,,,,,,
36,41309,11/11/22,SI_255,C,12,0.45,CO2,3,0,365.8,96.1,,,,,,,,,,,,,,,1.2,5187,124921,124.921,0.6,5508,132214,1.454,2.8,7438,0.538,179399,1.0583754,0.0119504,-2.875,-2.875,1.4361,0.0040223,0.676,0.676,0.0111455,-3.108,0.0020066,0.684
36,41309,11/11/22,SI_255,C,12,0.45,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.5,5207,96543,96.543,2.0,5524,102474,1.127,4.7,7469,0.416,138552,1.0614275,0.0119849,0,0,1.4351299,0.0040196,0,0,0.0111802,0,0.0020052,0
37,41310,11/11/22,Blank,D,1,0,N2,1,1,47.4,26.8,13.3,3263,60136,60.136,9.0,2151,39648,0.436,0.6593123,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
37,41310,11/11/22,Blank,D,1,0,CO2,2,0,370.8,60,,,,,,,,,,,,,,,1.2,67,1613,1.613,0.6,71,1687,0.019,2.9,97,0.007,2318,1.0454454,0.0118022,-15.244,-15.244,1.436612,0.0040233,0.929,0.929,0.0109971,-16.377,0.0020071,0.966
37,41310,11/11/22,Blank,D,1,0,CO2,3,1,525.2,40.3,,,,,,,,,,,,,,,1.0,5209,96508,96.508,0.4,5528,102456,1.127,2.6,7475,0.416,138516,1.0616289,0.0119849,0,0,1.435279,0.0040196,0,0,0.0111802,0,0.0020052,0
38,41311,11/11/22,SI_256,D,2,0.462,N2,1,1,47.7,27,12.9,3268,60262,60.262,8.6,2153,39704,0.437,0.6588631,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
38,41311,11/11/22,SI_256,D,2,0.462,N2,2,0,216.3,75.4,13.7,1105,24134,24.134,9.0,739,16128,0.177,0.6682777,0.0074615,14.289,14.289,0.0037308,14.289,,,,,,,,,,,,,,,,,,,,,,,,
38,41311,11/11/22,SI_256,D,2,0.462,CO2,3,0,366,95.7,,,,,,,,,,,,,,,0.9,4824,116240,116.24,0.3,5128,123178,1.355,2.5,6914,0.501,166871,1.0596811,0.0119644,-1.706,-1.706,1.435569,0.0040209,0.337,0.337,0.0111596,-1.841,0.0020059,0.341
38,41311,11/11/22,SI_256,D,2,0.462,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.3,5207,96592,96.592,1.8,5524,102531,1.128,4.5,7469,0.416,138617,1.0614917,0.0119849,0,0,1.435086,0.0040196,0,0,0.0111802,0,0.0020052,0
