Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
23,37057,SI_164a,G,8,0.484,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.5,5340,99090,99.09,1.4,5657,105001,1.155,3.3,7674,0.427,142452,1.0596537,0.0119849,0,0,1.4376034,0.0040196,0,0,0.0111802,0,0.0020052,0
24,37058,SI_165a,G,9,0.462,N2,1,1,47.4,27.2,12.3,3811,70339,70.339,8.2,2510,46333,0.51,0.6587034,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
24,37058,SI_165a,G,9,0.462,N2,2,0,216.3,90.7,12.7,1073,28362,28.362,8.4,717,18950,0.208,0.6681258,0.0074616,14.304,14.304,0.0037308,14.304,,,,,,,,,,,,,,,,,,,,,,,,
24,37058,SI_165a,G,9,0.462,CO2,3,0,374.9,110.6,,,,,,,,,,,,,,,0.1,4740,134908,134.908,-0.1,5026,142698,1.57,1.2,6766,0.578,192746,1.0577452,0.0119633,-1.797,-1.797,1.4287233,0.0039947,-6.193,-6.193,0.0111612,-1.696,0.0019928,-6.196
24,37058,SI_165a,G,9,0.462,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,1.6,5342,99152,99.152,1.4,5659,105067,1.156,3.4,7678,0.428,142544,1.0596498,0.0119849,0,0,1.4376264,0.0040196,0,0,0.0111802,0,0.0020052,0
25,37059,Blank,G,10,0,N2,1,1,47.4,27.2,12.3,3810,70252,70.252,8.3,2511,46316,0.509,0.6592769,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
25,37059,Blank,G,10,0,CO2,2,1,525.2,40.1,,,,,,,,,,,,,,,-0.0,5338,98983,98.983,-0.3,5654,104904,1.154,1.0,7671,0.427,142318,1.059817,0.0119849,0,0,1.4378037,0.0040196,0,0,0.0111802,0,0.0020052,0
26,37060,SI_166a,G,11,0.483,N2,1,1,47.4,27.2,12.1,3812,70375,70.375,8.0,2510,46357,0.51,0.6587089,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
26,37060,SI_166a,G,11,0.483,N2,2,0,216.3,90.5,12.6,1074,28359,28.359,8.3,718,18948,0.208,0.6681463,0.0074618,14.327,14.327,0.0037309,14.327,,,,,,,,,,,,,,,,,,,,,,,,
26,37060,SI_166a,G,11,0.483,CO2,3,0,375.2,110.8,,,,,,,,,,,,,,,-0.1,4580,130051,130.051,-0.3,4856,137589,1.513,1.0,6541,0.558,185918,1.057962,0.0119661,-1.566,-1.566,1.4295754,0.0039969,-5.63,-5.63,0.0111638,-1.469,0.0019939,-5.633
26,37060,SI_166a,G,11,0.483,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,1.5,5339,99030,99.03,1.3,5655,104935,1.154,3.2,7673,0.427,142373,1.0596211,0.0119849,0,0,1.4376692,0.0040196,0,0,0.0111802,0,0.0020052,0
27,37061,SI_166b,G,12,0.465,N2,1,1,47.4,27.2,12.3,3813,70300,70.3,8.2,2511,46305,0.509,0.6586862,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
27,37061,SI_166b,G,12,0.465,N2,2,0,216.1,84.4,12.7,574,15021,15.021,8.4,383,10003,0.11,0.6659548,0.0074376,11.035,11.035,0.0037188,11.035,,,,,,,,,,,,,,,,,,,,,,,,
27,37061,SI_166b,G,12,0.465,CO2,3,0,375.6,108.5,,,,,,,,,,,,,,,0.0,3988,112335,112.335,-0.2,4216,118499,1.303,1.1,5698,0.482,160642,1.0548676,0.0119303,-4.554,-4.554,1.4300295,0.0039983,-5.293,-5.293,0.0111278,-4.685,0.0019946,-5.288
27,37061,SI_166b,G,12,0.465,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.3,5339,99059,99.059,1.2,5655,104972,1.155,2.9,7672,0.427,142411,1.059693,0.0119849,0,0,1.4376389,0.0040196,0,0,0.0111802,0,0.0020052,0
28,37062,SS_77,H,1,0.426,N2,1,1,47.4,27.2,12.3,3812,70390,70.39,8.2,2510,46366,0.51,0.6586945,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
28,37062,SS_77,H,1,0.426,N2,2,0,216.5,90.5,12.7,1041,27554,27.554,8.4,696,18415,0.203,0.668317,0.0074639,14.608,14.608,0.0037319,14.608,,,,,,,,,,,,,,,,,,,,,,,,
28,37062,SS_77,H,1,0.426,CO2,3,0,375.2,112.4,,,,,,,,,,,,,,,0.1,4510,128671,128.671,-0.1,4789,136303,1.499,1.3,6440,0.552,183896,1.0593175,0.0119809,-0.328,-0.328,1.4292027,0.003996,-5.856,-5.856,0.0111787,-0.133,0.0019934,-5.862
28,37062,SS_77,H,1,0.426,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.5,5340,99036,99.036,1.4,5656,104945,1.154,3.3,7674,0.427,142377,1.059665,0.0119849,0,0,1.4376208,0.0040196,0,0,0.0111802,0,0.0020052,0
29,37063,SS_78,H,2,0.462,N2,1,1,47.4,27.2,12.3,3812,70326,70.326,8.3,2510,46325,0.51,0.6587112,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
29,37063,SS_78,H,2,0.462,N2,2,0,216.5,92,12.7,1183,31435,31.435,8.4,791,20999,0.231,0.6680119,0.0074603,14.119,14.119,0.0037301,14.119,,,,,,,,,,,,,,,,,,,,,,,,
