Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
20,36701,GA2_Std_02,B,10,0.587,CO2,3,0,374.1,167,,,,,,,,,,,,,,,0.2,4102,157831,157.831,0,4339,166797,1.835,1.7,5857,0.676,225485,1.0568059,0.0119574,-2.294,-2.294,1.4286474,0.0039943,-6.274,-6.274,0.0111553,-2.225,0.0019926,-6.276
20,36701,GA2_Std_02,B,10,0.587,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.2,5364,101399,101.399,0,5680,107406,1.181,1.7,7710,0.437,145778,1.0592354,0.0119849,0,0,1.4376678,0.0040196,0,0,0.0111802,0,0.0020052,0
21,36702,SI_42,B,11,0.486,N2,1,1,47.7,27,14.1,3772,69502,69.502,10,2483,45769,0.503,0.6585334,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
21,36702,SI_42,B,11,0.486,N2,2,0,220.7,122.5,13.1,289,9953,9.953,8.8,192,6617,0.073,0.6648047,0.0074265,9.523,9.523,0.0037132,9.523,,,,,,,,,,,,,,,,,,,,,,,,
21,36702,SI_42,B,11,0.486,CO2,3,0,376,165.9,,,,,,,,,,,,,,,0.3,1995,73167,73.167,0,2115,77561,0.853,1.6,2852,0.314,104702,1.0600633,0.0119923,0.619,0.619,1.431002,0.0039999,-4.886,-4.886,0.0111897,0.845,0.0019954,-4.893
21,36702,SI_42,B,11,0.486,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.3,5323,99432,99.432,0,5637,105339,1.159,1.6,7652,0.429,142986,1.0594075,0.0119849,0,0,1.438028,0.0040196,0,0,0.0111802,0,0.0020052,0
22,36703,SI_43,B,12,0.43,N2,1,1,47.7,27.4,13.1,3771,69578,69.578,9,2485,45864,0.505,0.659181,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
22,36703,SI_43,B,12,0.43,N2,2,0,220.3,122.1,12.9,345,11337,11.337,8.6,230,7557,0.083,0.6665421,0.0074385,11.167,11.167,0.0037193,11.167,,,,,,,,,,,,,,,,,,,,,,,,
22,36703,SI_43,B,12,0.43,CO2,3,0,375.2,166.2,,,,,,,,,,,,,,,0.2,2215,77033,77.033,0,2349,81632,0.898,1.4,3168,0.331,110240,1.0597092,0.011988,0.263,0.263,1.4310898,0.0040001,-4.841,-4.841,0.0111854,0.462,0.0019955,-4.847
22,36703,SI_43,B,12,0.43,CO2,4,1,525.6,43.7,,,,,,,,,,,,,,,0.2,5318,99422,99.422,0,5632,105330,1.159,1.4,7645,0.429,142973,1.0594306,0.0119849,0,0,1.4380512,0.0040196,0,0,0.0111802,0,0.0020052,0
23,36704,SI_44,C,1,1.542,N2,1,1,47.9,27.2,12.9,3769,69538,69.538,8.9,2484,45838,0.504,0.6591759,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
23,36704,SI_44,C,1,1.542,N2,2,0,221.5,127.3,12.8,436,15439,15.439,8.6,290,10255,0.113,0.664187,0.0074123,7.602,7.602,0.0037062,7.602,,,,,,,,,,,,,,,,,,,,,,,,
23,36704,SI_44,C,1,1.542,CO2,3,0,372.2,167.6,,,,,,,,,,,,,,,0.1,7464,288726,288.726,-0.1,7933,306174,3.368,1.5,10636,1.235,411781,1.0604317,0.0119963,0.956,0.956,1.4261997,0.0039876,-7.942,-7.942,0.011195,1.321,0.0019893,-7.954
23,36704,SI_44,C,1,1.542,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0.1,5415,103455,103.455,-0.1,5734,109602,1.206,1.5,7783,0.446,148729,1.0594186,0.0119849,0,0,1.4376173,0.0040196,0,0,0.0111802,0,0.0020052,0
24,36705,SI_45,C,2,0.494,N2,1,1,47.9,27.2,15.2,3759,69527,69.527,11.3,2477,45827,0.504,0.6591264,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
24,36705,SI_45,C,2,0.494,N2,2,0,220.7,128.3,13.3,520,18161,18.161,9.1,346,12096,0.133,0.6660527,0.0074337,10.508,10.508,0.0037169,10.508,,,,,,,,,,,,,,,,,,,,,,,,
24,36705,SI_45,C,2,0.494,CO2,3,0,374.7,167.2,,,,,,,,,,,,,,,0.5,3318,123870,123.87,0.3,3517,131208,1.443,1.9,4737,0.531,176977,1.0592438,0.0119836,-0.108,-0.108,1.4287332,0.003994,-6.354,-6.354,0.0111815,0.12,0.0019924,-6.361
24,36705,SI_45,C,2,0.494,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.5,5339,99578,99.578,0.3,5654,105489,1.16,1.9,7676,0.43,143181,1.0593587,0.0119849,0,0,1.4378694,0.0040196,0,0,0.0111802,0,0.0020052,0
25,36706,Blank,C,3,0,N2,1,1,47.9,27.2,13.6,3757,69411,69.411,9.6,2477,45782,0.504,0.6595794,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
25,36706,Blank,C,3,0,CO2,2,1,525.6,40.3,,,,,,,,,,,,,,,0.3,5290,98052,98.052,0,5602,103883,1.143,1.4,7606,0.423,141025,1.0594652,0.0119849,0,0,1.4382584,0.0040196,0,0,0.0111802,0,0.0020052,0
26,36707,SI_46,C,4,0.479,N2,1,1,47.9,27.2,12.2,3758,69424,69.424,8.2,2476,45762,0.503,0.6591697,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
26,36707,SI_46,C,4,0.479,N2,2,0,220.7,127.7,12.6,482,16228,16.228,8.4,322,10820,0.119,0.6667643,0.0074412,11.521,11.521,0.0037206,11.521,,,,,,,,,,,,,,,,,,,,,,,,
26,36707,SI_46,C,4,0.479,CO2,3,0,374.5,166.8,,,,,,,,,,,,,,,0,3142,112498,112.498,-0.2,3330,119128,1.31,1.2,4490,0.483,160867,1.0589279,0.0119799,-0.415,-0.415,1.4299494,0.0039971,-5.589,-5.589,0.0111776,-0.236,0.001994,-5.594
26,36707,SI_46,C,4,0.479,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0,5326,99743,99.743,-0.2,5640,105665,1.162,1.2,7658,0.43,143429,1.0593672,0.0119849,0,0,1.4379863,0.0040196,0,0,0.0111802,0,0.0020052,0
27,36708,SI_47,C,5,0.477,N2,1,1,47.9,27.4,13.3,3759,69352,69.352,9.3,2477,45715,0.503,0.6591732,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
27,36708,SI_47,C,5,0.477,N2,2,0,220.7,127.5,12.9,376,13297,13.297,8.7,250,8859,0.097,0.6662597,0.0074355,10.751,10.751,0.0037177,10.751,,,,,,,,,,,,,,,,,,,,,,,,
27,36708,SI_47,C,5,0.477,CO2,3,0,374.9,167,,,,,,,,,,,,,,,0.2,2736,103716,103.716,0,2903,109970,1.21,1.5,3912,0.445,148345,1.0603026,0.0119946,0.816,0.816,1.4303056,0.0039982,-5.311,-5.311,0.0111922,1.072,0.0019945,-5.32
27,36708,SI_47,C,5,0.477,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.2,5333,100239,100.239,0,5647,106197,1.168,1.5,7666,0.432,144138,1.0594384,0.0119849,0,0,1.4379431,0.0040196,0,0,0.0111802,0,0.0020052,0
28,36709,SI_48,C,6,0.445,N2,1,1,47.7,27.2,13.5,3760,69453,69.453,9.5,2478,45778,0.504,0.6591206,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
28,36709,SI_48,C,6,0.445,N2,2,0,220.7,117.5,12.9,344,11799,11.799,8.7,229,7863,0.086,0.6664141,0.0074378,11.066,11.066,0.0037189,11.066,,,,,,,,,,,,,,,,,,,,,,,,
28,36709,SI_48,C,6,0.445,CO2,3,0,375.2,166.8,,,,,,,,,,,,,,,0.2,2414,89198,89.198,0,2555,94382,1.038,1.5,3452,0.383,127643,1.058115,0.0119709,-1.161,-1.161,1.4309954,0.0039999,-4.893,-4.893,0.0111683,-1.063,0.0019954,-4.895
28,36709,SI_48,C,6,0.445,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.2,5321,99691,99.691,0,5634,105608,1.162,1.5,7650,0.43,143359,1.0593454,0.0119849,0,0,1.438031,0.0040196,0,0,0.0111802,0,0.0020052,0
29,36710,SI_49,C,7,0.451,N2,1,1,47.9,27.2,13.3,3765,69563,69.563,9.3,2481,45851,0.504,0.6591299,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
29,36710,SI_49,C,7,0.451,N2,2,0,220.5,127.7,12.9,421,14336,14.336,8.6,281,9546,0.105,0.6658797,0.0074317,10.24,10.24,0.0037159,10.24,,,,,,,,,,,,,,,,,,,,,,,,
29,36710,SI_49,C,7,0.451,CO2,3,0,374.3,167.2,,,,,,,,,,,,,,,0.2,3051,110585,110.585,-0.1,3233,117100,1.288,1.5,4362,0.474,158163,1.0589175,0.0119804,-0.367,-0.367,1.4302395,0.0039978,-5.418,-5.418,0.0111781,-0.192,0.0019943,-5.424
29,36710,SI_49,C,7,0.451,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0.2,5327,99905,99.905,-0.1,5643,105830,1.164,1.5,7661,0.431,143667,1.0593067,0.0119849,0,0,1.4380314,0.0040196,0,0,0.0111802,0,0.0020052,0
30,36711,GA2_Std_03,C,8,0.568,N2,1,1,47.9,27.2,13.4,3768,69552,69.552,9.4,2481,45801,0.504,0.6585182,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
30,36711,GA2_Std_03,C,8,0.568,N2,2,0,220.9,128.5,12.9,646,23621,23.621,8.7,423,15461,0.17,0.6545252,0.0073118,-6.063,-6.063,0.0036559,-6.063,,,,,,,,,,,,,,,,,,,,,,,,
30,36711,GA2_Std_03,C,8,0.568,CO2,3,0,373.9,167.8,,,,,,,,,,,,,,,0.2,3835,150917,150.917,0,4056,159500,1.755,1.7,5478,0.647,215665,1.0568728,0.0119573,-2.299,-2.299,1.4290276,0.003995,-6.119,-6.119,0.0111552,-2.237,0.0019929,-6.121
30,36711,GA2_Std_03,C,8,0.568,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.2,5359,101246,101.246,0,5675,107250,1.18,1.7,7704,0.437,145574,1.0593083,0.0119849,0,0,1.4378256,0.0040196,0,0,0.0111802,0,0.0020052,0
31,36712,SAL_Std_03,C,9,0.457,N2,1,1,47.9,27.2,14.2,3769,69542,69.542,10.2,2481,45794,0.504,0.6585083,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
31,36712,SAL_Std_03,C,9,0.457,N2,2,0,220.7,129,13.1,692,25212,25.212,8.8,461,16785,0.185,0.6657669,0.0074375,11.023,11.023,0.0037187,11.023,,,,,,,,,,,,,,,,,,,,,,,,
31,36712,SAL_Std_03,C,9,0.457,CO2,3,0,373.9,167.8,,,,,,,,,,,,,,,0.3,3589,141081,141.081,0.1,3769,148054,1.629,1.9,5127,0.605,201599,1.0494239,0.0118748,-9.179,-9.179,1.4289586,0.003995,-6.118,-6.118,0.0110727,-9.612,0.001993,-6.103
31,36712,SAL_Std_03,C,9,0.457,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.3,5356,101728,101.728,0.1,5671,107745,1.185,1.9,7699,0.439,146260,1.0591453,0.0119849,0,0,1.4377552,0.0040196,0,0,0.0111802,0,0.0020052,0
32,36713,GA1_Std_03,C,10,0.563,N2,1,1,47.7,27.4,14.2,3770,69531,69.531,10.2,2482,45790,0.504,0.6585474,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
32,36713,GA1_Std_03,C,10,0.563,N2,2,0,220.9,128.7,13.2,634,23339,23.339,8.9,415,15294,0.168,0.6553255,0.0073204,-4.892,-4.892,0.0036602,-4.892,,,,,,,,,,,,,,,,,,,,,,,,
32,36713,GA1_Std_03,C,10,0.563,CO2,3,0,374.1,167.4,,,,,,,,,,,,,,,0.4,3732,148696,148.696,0.2,3894,155015,1.705,2,5330,0.637,212467,1.0424925,0.0117999,-15.431,-15.431,1.4288645,0.003995,-6.116,-6.116,0.0109978,-16.315,0.001993,-6.086
32,36713,GA1_Std_03,C,10,0.563,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.4,5362,101546,101.546,0.2,5678,107520,1.183,2,7708,0.438,145988,1.0588312,0.0119849,0,0,1.4376569,0.0040196,0,0,0.0111802,0,0.0020052,0
33,36714,SI_50a,C,11,0.482,N2,1,1,47.9,27.2,14.3,3774,69533,69.533,10.3,2484,45790,0.504,0.6585402,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
33,36714,SI_50a,C,11,0.482,N2,2,0,220.9,128.7,13.1,750,27319,27.319,8.9,500,18186,0.2,0.6657094,0.0074365,10.887,10.887,0.0037182,10.887,,,,,,,,,,,,,,,,,,,,,,,,
33,36714,SI_50a,C,11,0.482,CO2,3,0,374.5,167.4,,,,,,,,,,,,,,,0.3,3382,132443,132.443,0.1,3558,139264,1.532,1.9,4831,0.568,189302,1.0514963,0.0118978,-7.263,-7.263,1.4293065,0.0039958,-5.906,-5.906,0.0110956,-7.566,0.0019934,-5.895
33,36714,SI_50a,C,11,0.482,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.3,5351,100923,100.923,0.1,5666,106896,1.176,1.9,7692,0.435,145106,1.059189,0.0119849,0,0,1.4377976,0.0040196,0,0,0.0111802,0,0.0020052,0
34,36715,SI_50b,C,12,1.509,N2,1,1,47.9,27.2,14,3775,69117,69.117,10,2486,45515,0.501,0.6585305,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
34,36715,SI_50b,C,12,1.509,N2,2,0,222.4,129.4,13.1,1506,56564,56.564,8.9,1000,37553,0.413,0.6638941,0.0074163,8.145,8.145,0.0037082,8.145,,,,,,,,,,,,,,,,,,,,,,,,
34,36715,SI_50b,C,12,1.509,CO2,3,0,371.2,168.2,,,,,,,,,,,,,,,0.3,9494,400580,400.58,0.2,9997,420716,4.628,2.4,13514,1.712,570774,1.0502691,0.0118892,-7.984,-7.984,1.424871,0.0039858,-8.402,-8.402,0.011088,-8.246,0.0019884,-8.392
34,36715,SI_50b,C,12,1.509,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0.3,5498,107255,107.255,0.2,5820,113553,1.249,2.4,7900,0.462,154119,1.0587219,0.0119849,0,0,1.4369437,0.0040196,0,0,0.0111802,0,0.0020052,0
35,36716,SI_51a,D,1,0.451,N2,1,1,47.9,27.4,17.8,3771,73446,73.446,13.7,2485,48232,0.531,0.6566964,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
35,36716,SI_51a,D,1,0.451,N2,2,0,220.9,128.5,13.9,666,24051,24.051,9.6,444,16007,0.176,0.665547,0.0074555,13.477,13.477,0.0037278,13.477,,,,,,,,,,,,,,,,,,,,,,,,
35,36716,SI_51a,D,1,0.451,CO2,3,0,375.2,167.2,,,,,,,,,,,,,,,0.8,3024,117687,117.687,0.6,3181,123762,1.361,2.6,4316,0.504,168079,1.0516164,0.0118982,-7.227,-7.227,1.4281834,0.003993,-6.612,-6.612,0.0110963,-7.502,0.001992,-6.603
35,36716,SI_51a,D,1,0.451,CO2,4,1,525.8,43.3,,,,,,,,,,,,,,,0.8,5343,100671,100.671,0.6,5657,106638,1.173,2.6,7679,0.434,144733,1.0592718,0.0119849,0,0,1.43769,0.0040196,0,0,0.0111802,0,0.0020052,0
