Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
27,42208,12/8/22,SI_730,C,3,0.413,N2,2,0,215.9,74.2,16.5,1162,25146,25.146,11.1,777,16796,0.185,0.6679225,0.0074589,13.933,13.933,0.0037294,13.933,,,,,,,,,,,,,,,,,,,,,,,,
27,42208,12/8/22,SI_730,C,3,0.413,CO2,3,0,367.8,102,,,,,,,,,,,,,,,1.5,5141,124315,124.315,0.9,5459,131616,1.448,3.2,7420,0.539,179713,1.0587318,0.0119481,-3.063,-3.063,1.4456216,0.0040521,8.101,8.101,0.0111401,-3.585,0.0020215,8.118
27,42208,12/8/22,SI_730,C,3,0.413,CO2,4,1,525.4,42,,,,,,,,,,,,,,,5.2,5197,96230,96.23,4.9,5517,102195,1.124,8.7,7450,0.414,137994,1.0619851,0.0119849,0,0,1.4340041,0.0040196,0,0,0.0111802,0,0.0020052,0
28,42209,12/8/22,SI_731,C,4,0.419,N2,1,1,47.4,27,16.6,3248,59817,59.817,11.6,2140,39437,0.434,0.6593016,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
28,42209,12/8/22,SI_731,C,4,0.419,N2,2,0,215.9,73.8,16.9,1183,25494,25.494,11.5,792,17045,0.187,0.6686038,0.0074602,14.109,14.109,0.0037301,14.109,,,,,,,,,,,,,,,,,,,,,,,,
28,42209,12/8/22,SI_731,C,4,0.419,CO2,3,0,367.8,97,,,,,,,,,,,,,,,1.9,5218,125733,125.733,1.4,5541,133125,1.464,3.9,7533,0.545,181783,1.0587973,0.0119492,-2.974,-2.974,1.4457923,0.0040525,8.195,8.195,0.0111412,-3.492,0.0020217,8.212
28,42209,12/8/22,SI_731,C,4,0.419,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.7,5196,96291,96.291,4.3,5516,102257,1.125,8,7450,0.414,138085,1.0619555,0.0119849,0,0,1.4340398,0.0040196,0,0,0.0111802,0,0.0020052,0
29,42210,12/8/22,SI_732,C,5,0.456,N2,1,1,47.4,26.8,16.3,3249,59909,59.909,11.3,2140,39465,0.434,0.6587468,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
29,42210,12/8/22,SI_732,C,5,0.456,N2,2,0,215.9,74.8,16.6,1342,28961,28.961,11.3,896,19339,0.213,0.6677375,0.0074568,13.648,13.648,0.0037284,13.648,,,,,,,,,,,,,,,,,,,,,,,,
29,42210,12/8/22,SI_732,C,5,0.456,CO2,3,0,367.2,99.7,,,,,,,,,,,,,,,1.4,5979,144984,144.984,0.9,6343,153248,1.686,3.2,8629,0.629,209545,1.0569997,0.0119294,-4.623,-4.623,1.4452966,0.004051,7.824,7.824,0.0111215,-5.247,0.0020209,7.844
