Sources,d15N,d13C
farm habitat,9.41063636363636,-14.5171688237084
farm habitat,9.81763636363636,-13.5006603205957
farm habitat,11.0036363636364,-11.1999663049801
farm habitat,12.0166363636364,-11.5671422184763
farm habitat,11.2466363636364,-10.2187483901539
farm habitat,11.5616363636364,-12.4196571721882
farm habitat,10.7356363636364,-11.5217875911745
pelagic,8.35163636363636,-20.0952692946684
pelagic,8.36063636363636,-20.63263010872
pelagic,8.02463636363636,-20.2051724947057
pelagic,8.58763636363637,-20.4117363951649
pelagic,8.90963636363636,-19.8387740905316
pelagic,8.64063636363636,-19.8590657682373
pelagic,8.33863636363636,-19.811603949227
pelagic,8.28663636363637,-19.667523160001
pelagic,8.42663636363636,-20.1023730195689
pelagic,9.35436363636364,-18.7896357158839
pelagic,7.33827272727273,-19.2630702421822
pelagic,7.56527272727273,-19.3528241308895
pelagic,7.31127272727273,-19.3859556377683
pelagic,7.50427272727273,-19.2964054329695
pelagic,7.33127272727273,-19.0380341810276
pelagic,7.683090909,-19.12592325
pelagic,7.997090909,-18.51950192
pelagic,7.190090909,-19.50034887
pelagic,7.430090909,-18.52747662
pelagic,8.42845454545455,-18.4008007340086
